Date,Name,NRIC,Shop Name,Address,Total Amount
['2/19/19'],[],[],[],[],"['$12.95', '$12.95', '$1.23', '$14.18', '$14.18', '$2.33', '$16.51', '$2.59', '$16.77']"
['5/4/2017'],[],[],[],[],[]
['28-08-2018'],[],[],[],[],[]
[],[],[],[],[],"['$2.25', '$6.75', '$1.50', '$4.00', '$22.25', '$2.22', '$24.47', '$4.40', '$4.89', '$6.12']"
[],[],[],[],[],"['$21.73', '$21.13', '$0.00']"
[],[],[],[],[],[]
['08/03/18'],['HWANG '],[],[],[],"['$24.00', '$12.00', '$36.00', '$3.19', '$39.19', '$46.40', '$46.40']"
[],[],[],[],[],[]
"['29-06-2018', '29-06-2018']",[],[],[],[],[]
[],[],[],[],[],"['$12.00', '$12.00', '$15.00', '$12.00', '$12.00', '$63.00', '$5.99', '$68.99']"
[],[],[],[],[],['$41.45']
[],[],[],[],[],[]
['12/29/2017'],[],[],[],[],[]
['06/13/17'],[],[],[],[],[]
[],[],[],[],[],[]
['03/05/17'],[],[],[],[],[]
[],[],[],[],[],[]
['6/02/2018'],[],[],[],[],[]
['02/18/17'],[],[],[],[],[]
[],[],[],[],[],['$16.00']
[],[],[],[],[],[]
[],[],[],[],[],['$13.53']
['05/18/20'],[],[],[],[],[]
['12/31/2017'],[],[],[],[],"['$5.19', '$0.00', '$0.00', '$0.00', '$0.00', '$0.00', '$0.00', '$0.00', '$11.88', '$0.00', '$0.00', '$2.70', '$32.08', '$22.66']"
['8/2/17'],[],[],[],[],[]
[],[],[],[],[],"['$3.75', '$0.00', '$3.00', '$8.99', '$5.00', '$2.50', '$3.50', '$3.50', '$24.24', '$1.70', '$25.94']"
[],[],[],[],[],[]
[],[],[],[],[],[]
['06/08/19'],[],[],[],[],[]
['12/07/2016'],[],[],[],[],[]
['05-18-2019'],[],[],[],[],"['$9.39', '$1.95', '$2.29', '$15.03']"
['01/07/17'],[],[],[],[],[]
[],[],[],[],[],[]
[],[],[],[],[],"['$8.59', '$10.00', '$3.04', '$50.38']"
[],[],[],[],[],[]
['4/10/16'],[],[],[],[],"['$17.00', '$12.00', '$4.00', '$6.00', '$3.00']"
['11/18/17'],[],[],[],[],[]
['9/6/2018'],[],[],[],[],['$13.24']
['03/17/19'],[],[],[],[],"['$12.00', '$14.00', '$3.40', '$30.60', '$6.12']"
['12/28/18'],[],[],[],[],"['$8.00', '$2.95', '$17.95', '$23.95', '$4.95', '$4.00', '$7.00', '$5.84', '$83.64']"
['6/16/2017'],[],[],[],[],"['$3.50', '$10.24', '$10.24', '$2.67', '$30.15']"
[],[],[],[],[],"['$84.80', '$3.82']"
[],[],[],[],[],[]
